objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
ccrock0019,CremonaJazz_1988_Festival.pdf,,,Cremona Jazz 1988 Festival,Comune di Cremona,1988-02-23,Formato A5 cartaceo con il programma di tutte le serate dal 23 febbraio 29 aprile 1988,"CremonaJazz 1988; Festival; Centro Musica; Comune di Cremona; Arci Cremona; Sala Stratos; teatro Comunale ""A. Ponchielli""; Tim Berne; Hank Roberts; Joey Baron; Tim Berne Trio ""Miniature""; Giulio Visibelli; Workshop;""Il Centro""; Niels H. Ø. Pedersen Trio;  Niels H. Ø. Pedersen; Kenny Drew; Philiph Catherine; Dave Brubeck Quartet; Dave Brubeck; Randy Jones; Chris Brubeck; Bill Smith; Wayne Shorter Quintet; Wayne Shorter; Gery Allen; Patrice Rushen; Nathan East; Terri Lyne Carrington; Gabriella Ravazzi; Mal Waldrom; Seminario; Canto jazz; Enrico Rava Quartet; Enrico Rava; Augusto Mancinelli; Furio Di Castro; Mauro Beggio; Hermeto Pascoal Sextet; Hermeto Pascoal; Jovino Santos; Carlos Malta; Marcio Bahia; Pernambuco; Sestetto",Sala Stratos,45.13473833,10.02133322,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ccrock0020,Portamosa_87_Manifesto.JPG,,,Portamosa 1987,Comune di Cremona,1987-05-30,Manifesto 70x100,Portamosa; Comune di Cremona; Il Cascinetto; Janggos; Banda Magnetica; Banana Arways Band; Lix Bolero; Not Fade Away; Stealth; Gypsy; Nevrotic Sisma; Emicrania; Crazy Rebels; Diskanto; Underground Life; Leyda; Mr. Hyde; Napalm; Strana Officina; White Line; Letto a Strisce; Slang; Senso Unico; Crazy Hammer; Special Force; Skanners; Alive Rhyme; Ca'fewien,Portamosa,45.12913417,10.03093364,Janggos,,Image,document/jpg,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ccrock0021,Portamosa_86_pieghevole.pdf,,,Portamosa 1986,Comune di Cremona,1986-06-01,Pieghevole,"Portamosa; Comune di Cremona; Janggos; Vanadium; Angelkillers; Angel, Killers; Nevrotic Sisma; Paolo Fresu, Paolo Fresu Quintet; Not Moving; Leyda; Letto a strisce; Senso Unico; Chiamata urgente; Diskanto; Fabio goes to Iseo; Emicrania; Napalm; Gipsy; Downtown Saints; Arci-Comics; Mostra Musica e fumetto",,45.12913417,10.03093364,Janggos,,pdf,,,,
ccrock0022,Portamosa_85_proiezione.jpg,,,Portamosa 1985,Comune di Cremona,1985-09-14,A4,Portamosa; Comune di Cremona; Janggos; diapositive; proiezione,,45.12913417,10.03093364,Janggos,,image,,,,
ccrock0023,Portamosa_85_Serata_di_Danza.pdf,,,Portamosa 1985,Comune di Cremona,1985-06-11,A4,"Portamosa; Comune di Cremona; Janggos; dance studio ""C""; scuola di Danza CIrcolo Fodri; Giada Orio; Stefano Benedini; Slapstick; Arci",,45.12913417,10.03093364,Janggos,,,,,,
ccrock0024,CremonaRock_88_Manifesto_Diaframma.jpg,,,Cremona Rock 1988,Comune di Cremona,1988-06-24,Manifesto 70x100,CremonaRock 1988; Diaframma; Boxing tour 1988; Janggos; Comune di Cremona; Il Cascinetto; Area spettacoli; Fiera di Cremona; Ca' de Somenzi,"Fiera di Cremona, Ca' de Somenzi",45.15110457,10.03211945,Janggos,,Image,document/jpg,it,Public domain ,http://rightsstatements.org/vocab/NoC-US/1.0/
ccrock0025,Portamosa_85_pieghevole.pdf,,,Portamosa 1985,Comune di Cremona,1985-06-04,A3,"Portamosa; Comune di Cremona; Quasar; Gipsy; Downtown Saints; Foris Portam; Scuola Danza Circolo Fodri; Scuola Dance Studio ""C""; Gruppo danza contemporanea ""slapstick""; Scuola danza contemporanea dell'Arci;Hot Ice Cream; Mob Exported; Senso UNico; Nan-sho-kho; Napalm; Nevrotic Sisma; Leyda; Clipper; Not Self; Emicrania",,,,,,,,,,
ccrock0026,CremonaRock_88_Manifesto.jpg,,,Cremona Rock 1988,Comune di Cremona,1988-06-07,Manifesto 70x100,CremonaRock 1988; Comune di Cremona; Progetto giovani; Quartiere 4; Janggos; Il Cascinetto; Area spettacoli; Fiera di Cremona; Ca' de Somenzi; Demetrio Stratos; Not Fade Away; The Gang; Crying Steel; Sabotage; On Line; Atelier Nouveau; Skiantos; Lix Bolero; Diaframma; Leyda; Tolo Marton,"Fiera di Cremona, Ca' de Somenzi",45.15110457,10.03211945,Janggos,,Image,document/jpg,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
ccrock0027,CremonaRock_88_Manifesto_Skiantos.jpg,,,Cremona Rock 1988,Comune di Cremona,1988-06-18,Manifesto 70x100,,,,,,,,,,,
ccrock0028,,,,,,,,,,,,,,,,,,
